,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
8,IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,CORE2023,B,none,fccm,4606.0,0,
2,International Symposium on Fundamentals of Computation Theory,FCT,CORE2023,B,none,fct,4613.0,1,4.0
37,International Conference on the Foundations of Digital Games,FDG,CORE2023,C,none,fdg,4607.0,0,
45,Forum on Specification and Design Languages,FDL,CORE2023,C,none,fdl,4612.0,0,
23,Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,CORE2023,C,none,fdtc,4604.0,0,
18,IEEE International Conference on Automatic Face and Gesture Recognition,FG,CORE2023,B,none,fgr,4603.0,0,
4,Frontiers in Education,FIE,CORE2023,C,none,fie,4608.0,1,
41,International Conference on Frontiers of Information Technology,FIT,CORE2023,National,none,fit,46.0,0,
1,International Symposium on Functional and Logic Programming,FLOPS,CORE2023,National,none,flops,4613.0,0,
48,International Symposium on Formal Methods (was Formal Methods Europe FME),FM,CORE2023,A,none,fm,4612.0,1,4.0
40,Formal Methods in Computer-Aided Design,FMCAD,CORE2023,B,none,fmcad,4612.0,2,4.5
8,Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,CORE2023,C,none,fmics,4612.0,0,
20,The International Conference on Future Networks and Communications,FNC,CORE2023,Unranked,none,fnc,4606.0,0,
9,IEEE Symposium on Foundations of Computer Science,FOCS,CORE2023,A*,none,focs,4613.0,0,
47,Foundations of Genetic Algorithms,FOGA,CORE2023,A,none,foga,4602.0,1,5.0
37,International Conference on Formal Ontology in Information Systems,FOIS,CORE2023,B,none,fois,4602.0,0,
48,Foundations of Software Science and Computational Structures,FOSSACS,CORE2023,A,none,fossacs,4613.0,0,
37,Flexible Query-Answering Systems,FQAS,CORE2023,C,none,fqas,4605.0,0,
29,IEEE Conference of the Open Innovations Association FRUCT,FRUCT,CORE2023,Regional,none,fruct,4606.0,0,
38,International Conference on Formal Structures for Computation and Deduction,FSCD,CORE2023,B,none,fscd,4613.0,0,
31,International Conference on Field and Service Robotics,FSR,CORE2018,A,none,fsr,801.0,0,
49,Foundations of Software Technology and Theoretical Computer Science,FST&TCS,CORE2023,National,none,fsttcs,4613.0,1,5.0
42,Conference on Fun with Algorithms,FUN,CORE2023,National,none,fun,4613.0,0,
35,International Conference on Information Fusion,FUSION,CORE2023,C,none,fusion,4605.0,0,
49,IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,CORE2023,B,none,fuzzIEEE,4602.0,1,5.0
