,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
18,Workshop on Cryptographic Hardware and Embedded Systems,CHES,CORE2021,A,none,ches,4604,6,5.0
19,International Conference on Human Factors in Computing Systems,CHI,CORE2021,A*,none,chi,4608,0,
20,CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,CORE2021,Journal Published,none,chiplay,4608,0,
21,International Conference on Computer-Human Interaction Research and Applications,CHIRA,CORE2021,C,none,chira,4608,0,
22,International Conference on Implementation and Application of Automata,CIAA,CORE2021,B,none,wia,4613,0,
23,International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,CORE2021,C,none,ciac,4613,0,
24,IberoAmerican Congress on Pattern Recognition,CIARP,CORE2021,C,none,ciarp,4603,0,
25,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,CORE2021,C,none,cibcb,4601,0,
26,International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,CORE2021,B,none,cicling,4602,0,
27,Conference on Intelligent Computer Mathematics,CICM,CORE2021,C,none,mkm,4613,0,
28,IEEE Symposium on Computational Intelligence and Data Mining,CIDM,CORE2021,C,none,,4605,0,
29,Conference on Innovative Data Systems Research,CIDR,CORE2021,A,none,cidr,4605,0,
30,Computability in Europe: Logic and Theory of Algorithms,CiE,CORE2021,C,none,cie,4613,0,
31,ACM International Conference on Information and Knowledge Management,CIKM,CORE2021,A,none,cikm,4605,0,
32,International Workshop on Combinations of Intelligent Methods and Applications,CIMA,CORE2021,C,none,,4602,0,
33,IEEE International Conference on Cybernetics and Intelligent Systems,CIS,CORE2021,C,none,,4602,0,
34,International Conference on Computational Intelligence and Security,CIS,CORE2021,National: China,none,cis,4604,0,
35,"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,CORE2021,C,none,cisis,4606,1,
36,Computational Intelligence in Security for Information Systems,CISIS,CORE2021,National: Spain,none,cisis-spain,4604,0,
37,Conference on Information Sciences and Systems,CISS,CORE2021,National: USA,none,ciss,4606,0,
38,IEEE International Conference on Computer and Information Technology,CIT,CORE2021,C,none,cit,46,1,4.0
39,Latin American Conference on Informatics,CLEI,CORE2021,C,none,clei,4602,0,
40,International Conference on Cloud Computing and Services Science,CLOSER,CORE2021,C,none,closer,4606,0,
41,IEEE International Conference on Cloud Computing,CLOUD,CORE2021,B,none,IEEEcloud,4606,1,5.0
42,IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,CORE2021,C,none,cloudcom,4606,2,4.5
43,IEEE International Conference on Cluster Computing,CLUSTER,CORE2021,A,none,cluster,4606,0,
44,International Science Conference on Computer Networks,CN,CORE2021,National:Poland,none,cn,4606,0,
45,International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,CORE2021,B,none,cnsm,4606,0,
46,Conference on Combinatorial Optimization and Applications,COCOA,CORE2021,B,none,cocoa,4602,1,
47,International Conference on Computing and Combinatorics,COCOON,CORE2021,National:China,none,cocoon,4613,2,4.5
48,"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,CORE2021,C,none,codesisss,4606,0,
49,"International Conference on Control, Decision and Information Technologies",CoDIT,CORE2021,C,none,codit,4612,1,4.0
0,Conference on Games (was Computational Intelligence and Games CIG),COG,CORE2021,C,none,cig,4607,0,
1,Annual Meeting of the Cognitive Science Society,CogSci,CORE2021,A,none,cogsci,4602,0,
2,IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,CORE2021,National:USA,none,cogsima,4606,0,
3,"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,CORE2021,B,none,,4602,2,4.0
4,International Conference on Computational Linguistics,COLING,CORE2021,A,none,coling,4602,5,5.0
5,"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom,CORE2021,C,none,colcom,4606,1,4.0
6,Conference on Learning Theory,COLT,CORE2021,A*,none,colt,4611,1,
7,International Conference on Management of Data,COMAD,CORE2021,National: India,none,comad,4605,0,
8,"International Conference on Complexity, Future Information Systems and Risk",COMPLEXIS,CORE2021,C,none,complexis,4613,0,
9,International Computer Software and Applications Conference,COMPSAC,CORE2021,B,none,compsac,4601,0,
10,International Conference on COMmunication Systems & NETworkS,COMSNETS,CORE2021,National:India,none,comsnets,4606,0,
11,International Conference on Concurrency Theory,CONCUR,CORE2021,A,none,concur,4613,0,
12,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2021,A,none,conext,4606,1,5.0
13,Conference on Computational Natural Language Learning,CoNLL,CORE2021,A,none,conll,4602,0,
14,International and Interdisciplinary Conference on Modelling and Using Context,CONTEXT,CORE2021,C,none,context,4602,0,
15,International Conference on Cooperative Information Systems,CoopIS,CORE2021,B,none,,4608,0,
16,International Conference on Coordination Models and Languages,Coordination,CORE2021,C,none,coordination,4606,0,
17,Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS,CORE2021,B,none,,4602,0,
18,International Conference on Principles and Practice of Constraint Programming,CP,CORE2021,A,none,cp,4602,0,
19,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,CORE2021,B,none,cpaior,4602,0,
20,Combinatorial Pattern Matching,CPM,CORE2021,B,none,cpm,4603,1,4.0
21,International Conference on Risks and Security of Internet and Systems,CRiSIS,CORE2021,C,none,crisis,4604,0,
22,International Workshop on Critical Information Infrastructures Security,CRITIS,CORE2021,C,none,critis,4604,0,
23,Advances in Cryptology,CRYPTO,CORE2021,A*,none,crypto,4604,0,
24,Computer Supported Collaborative Learning,CSCL,CORE2021,B,none,cscl,4608,1,5.0
25,ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2021,A,none,cscw,4608,1,5.0
26,International Conference on Computer Supported Cooperative Work in Design,CSCWD,CORE2021,B,none,cscwd,4608,0,
27,International Conference on Computer Supported Education,CSEDU,CORE2021,B,none,csedu,4608,0,
